rpm,torque_nm,power_kw,t_norm,source,confidence,note
700,72.0,5.28,0.351,assumed,0.15,idle_region_no_public_data
1000,103.0,10.79,0.502,assumed,0.20,extrapolated_from_NA_2L_typical_shape
1500,135.0,21.21,0.659,assumed,0.20,extrapolated
2000,164.0,34.35,0.800,assumed,0.25,extrapolated
2500,189.0,49.48,0.922,measured_shape,0.45,start_of_pre_dip_torque_lump
2800,196.0,57.47,0.956,measured_shape,0.45,lump_local_peak
3000,197.0,61.89,0.961,measured_shape,0.45,lump_local_peak
3200,193.0,64.68,0.941,measured_shape,0.45,end_of_lump_dip_begins
3500,180.0,65.97,0.878,measured_shape,0.40,descending_into_dip
3800,172.0,68.45,0.839,measured_shape,0.40,descending_into_dip
4000,170.0,71.21,0.829,measured_shape,0.45,DIP_BOTTOM_minus13.7pct_vs_3000rpm
4200,174.0,76.53,0.849,measured_shape,0.40,recovery_start
4500,195.0,91.89,0.951,measured_shape,0.45,plateau_entry
4800,200.0,100.53,0.976,measured_shape,0.50,plateau
5000,201.0,105.24,0.980,measured_shape,0.50,plateau
5500,201.0,115.77,0.980,measured_shape,0.50,plateau
6000,202.0,126.92,0.985,measured_shape,0.50,plateau
6400,205.0,137.40,1.000,official,0.95,OFFICIAL_peak_torque_205Nm_6400_6600rpm
6500,205.0,139.54,1.000,official,0.95,OFFICIAL_peak_torque_plateau
6600,205.0,141.68,1.000,official,0.95,OFFICIAL_peak_torque_205Nm_6400_6600rpm
6800,203.0,144.55,0.990,estimated,0.55,interpolated_between_official_anchors
7000,200.5,146.96,0.978,official_derived,0.90,DERIVED_from_OFFICIAL_147kW_200PS_at_7000rpm
7100,197.0,146.47,0.961,estimated,0.45,must_stay_below_peak_power_at_7000
7200,191.0,144.02,0.932,estimated,0.45,post_peak_falloff
7400,180.0,139.48,0.878,measured,0.60,FUEL_CUT_rpm_measured_Edmunds_dyno
